download,citing_q2th,submitted_2011,submitted_2012,submitted_2013,submitted_2014,submitted_2015,submitted_2016,submitted_2017,submitted_2018,submitted_2019,submitted_2020,published_2014,published_2015,published_2016,published_2017,published_2018,published_2019,published_2020,length,title_lda_weight,keyword_lda_weight,abstract_lda_weight,title_NoW,keywords_NoW,abstract_NoW,introduction_NoW,experimental_method_NoW,conclusion_NoW,acknowledgement_NoW,result_NoW,title_lda_0,title_lda_1,title_lda_2,title_lda_3,title_lda_4,title_lda_5,title_lda_6,title_lda_7,title_lda_8,title_lda_9,title_lda_10,title_lda_11,title_lda_12,title_lda_13,title_lda_14,title_lda_15,title_lda_16,title_lda_17,title_lda_18,title_lda_19,keyword_lda_0,keyword_lda_1,keyword_lda_2,keyword_lda_3,keyword_lda_4,keyword_lda_5,keyword_lda_6,keyword_lda_7,keyword_lda_8,keyword_lda_9,keyword_lda_10,keyword_lda_11,keyword_lda_12,keyword_lda_13,keyword_lda_14,keyword_lda_15,keyword_lda_16,keyword_lda_17,keyword_lda_18,keyword_lda_19,abstract_lda_0,abstract_lda_1,abstract_lda_2,abstract_lda_3,abstract_lda_4,abstract_lda_5,abstract_lda_6,abstract_lda_7,abstract_lda_8,abstract_lda_9,abstract_lda_10,abstract_lda_11,abstract_lda_12,abstract_lda_13,abstract_lda_14,abstract_lda_15,abstract_lda_16,abstract_lda_17,abstract_lda_18,abstract_lda_19,Indo,Mix,Non-Indo,Writers,FirstIndo
6.920672491415028,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.6096378924367665,0.5249980092048645,0.5249971151351929,0.05000000074505806,1.7919261220073757,0.6936470556015963,77,0.0009995003330834232,0.0009995003330834232,0.0009995003330834232,0.0009995003330834232,0.0009995003330834232,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
6.797941529045737,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.7081168655467533,0.3893580734729767,0.7284630537033081,0.3060629069805145,2.3026850879943788,2.4849899796493045,143,6.447307447326011,6.93342400038911,4.7004894566601845,2.833272165855592,5.153297374827893,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
6.701961594503014,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.1973356822749484,0.35474303364753723,0.5427254438400269,0.3502374887466431,2.5650262775800314,2.3026850879943788,98,5.91350570833732,5.683583168693441,4.043068811540308,2.639128755635788,4.6151304177823445,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,1
6.3007876295239456,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2.4849899796493045,0.4459549188613892,0.6408875584602356,0.5360355973243713,2.3979861777572986,2.3026850879943788,93,0.0009995003330834232,0.0009995003330834232,4.744940823977617,0.0009995003330834232,0.0009995003330834232,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
6.669499358892607,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.3026850879943788,0.5249984860420227,0.5249989628791809,0.5249993801116943,2.079566533867987,2.3026850879943788,80,6.9527296006473565,6.030687664104527,4.828321737270302,0.0009995003330834232,5.796060790274431,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
6.289717426194847,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.1973356822749484,0.6503637433052063,0.5249986052513123,0.5249993801116943,2.3979861777572986,2.3026850879943788,121,0.0009995003330834232,0.0009995003330834232,0.0009995003330834232,0.0009995003330834232,0.0009995003330834232,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,1
6.077644536924387,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2.3979861777572986,0.7471754550933838,0.26017847657203674,0.34376755356788635,2.772651220286737,2.4849899796493045,90,0.0009995003330834232,0.0009995003330834232,0.0009995003330834232,0.0009995003330834232,0.0009995003330834232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1
7.074117662937055,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.6096378924367665,0.6801639795303345,0.4535498023033142,0.3441009521484375,1.9460529959950603,2.079566533867987,105,0.0009995003330834232,0.0009995003330834232,0.0009995003330834232,0.0009995003330834232,0.0009995003330834232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
7.210819192024385,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.3979861777572986,0.7191463708877563,0.6452302932739258,0.3264272212982178,2.4849899796493045,2.3979861777572986,96,0.0009995003330834232,0.0009995003330834232,0.0009995003330834232,0.0009995003330834232,0.0009995003330834232,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
6.8287131538921795,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.386544329875098,0.5053539276123047,0.05000000074505806,0.05000000074505806,2.3026850879943788,0.0009995003330834232,22,0.0009995003330834232,0.0009995003330834232,0.0009995003330834232,0.0009995003330834232,0.0009995003330834232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1
